family,url,lastmod
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-hill-vs-rountree-jr-baku,2025-06-21T23:33Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-holloway-vs-allen,2024-01-30T17:18Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-holloway-vs-korean-zombie,2023-08-26T15:45Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-holm-vs-bueno-silva-ufc-vegas-77,2025-02-20T21:45Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-holm-vs-vieira-ufc-vegas-55,2022-05-22T02:07Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-imavov-vs-borralho-paris,2025-09-06T22:36Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-kape-vs-almabayev-apex-las-vegas,2025-03-02T03:12Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-kara-france-vs-albazi,2023-06-04T04:33Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-kattar-vs-chikadze-ufc-vegas-46,2025-02-21T19:37Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-kattar-vs-emmett-ufc-austin,2022-06-19T02:20Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-krylov-vs-spann-ufc-vegas-70,2025-02-21T19:30Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-ladd-vs-dumont-ufc-vegas-40,2021-10-17T01:46Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-lemos-vs-andrade-ufc-vegas-52,2022-04-24T02:58Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-lemos-vs-jandiroba-vegas-94,2024-07-21T02:52Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-lewis-vs-daukaus-ufc-vegas-45,2021-12-19T02:44Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-lewis-vs-spivac-vegas-68,2023-02-06T19:14Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-lewis-vs-teixeira-nashville,2025-07-13T04:31Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-luque-vs-dos-anjos,2023-08-13T02:20Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-luque-vs-muhammad-2-ufc-vegas-51,2025-02-28T18:12Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-machado-garry-vs-prates-t-mobile-center-kansas-city,2025-04-27T04:37Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-magny-vs-prates-vegas-100,2024-11-10T03:11Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-makhachev-vs-green-ufc-vegas-49,2022-02-27T02:32Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-moreno-vs-erceg-mexico-city,2025-03-30T02:58Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-nicolau-vs-perez,2024-04-28T01:54Z
