fightmetric_id,ufc_fight_uuid,drupal_internal_nid,red_athlete_uuid,blue_athlete_uuid,winner_athlete_uuid,title,final_method,final_round,final_time
10595,2df8fe9a-2bbe-46e4-969e-7f2a2ce21842,130170,5991541e-a010-4b8d-8c9a-87689fa2b7d6,9a9fcfcb-b37e-4d0f-a2e8-f67d95922af7,5991541e-a010-4b8d-8c9a-87689fa2b7d6,Derrick Lewis vs Marcos Rogerio de Lima,KO/TKO,1,0:33
10596,8d9d0c0d-5a28-4495-acc4-b58126b91a97,130171,368e7621-a820-47f0-acde-a2684922c974,065b224c-b696-4d0a-a9d4-58b2005ae8f7,065b224c-b696-4d0a-a9d4-58b2005ae8f7,Michael Chiesa vs Kevin Holland,Submission,1,2:39
10597,d3749bee-445c-4c65-b1b9-c42c9b70fa84,130174,1a619cff-5bb7-49bf-b60e-ca752e953e3b,135a1996-a217-4cf6-9705-b298d1a3dbfd,135a1996-a217-4cf6-9705-b298d1a3dbfd,Aljamain Sterling vs Sean O'Malley,KO/TKO,2,0:51
10598,053cf613-c391-44c6-b4aa-dba45d8e676f,130175,92b7373d-fa10-4de0-8c70-b77bd3647911,9ec09347-569f-43d6-b989-3085ff1c3c70,92b7373d-fa10-4de0-8c70-b77bd3647911,Zhang Weili vs Amanda Lemos,Decision - Unanimous,5,5:00
10599,8bf78af8-625c-48f9-9dfe-521117d76139,130181,8a18c2ff-96c6-41d5-adac-4976091169a1,fad989c7-25f7-4d7d-abe6-0a070ff37faa,8a18c2ff-96c6-41d5-adac-4976091169a1,Nicolas Dalby vs Muslim Salikhov,Decision - Unanimous,3,5:00
10600,da1c4e83-5f3c-4f3d-9d20-af03567a5f2c,130182,b2962bf4-253e-4bcd-828b-25bfc92609f6,e26962d6-c9af-4f52-adc0-05aa066d9095,b2962bf4-253e-4bcd-828b-25bfc92609f6,Kyung Ho Kang vs Cristian Quiñonez,Submission,1,2:25
10601,5e26acb2-b62f-4e34-a681-b89085d5779a,130198,bb9670a2-bde7-452f-8fe5-007d4130f6c1,af828804-11ec-46c2-8778-d80d0abb0809,af828804-11ec-46c2-8778-d80d0abb0809,Shannon Ross vs Jesus Aguilar,KO/TKO,1,0:17
10602,824ed941-69e7-40c4-a625-509efddd8fd3,130197,4ba45037-a8a3-4013-b534-0b9e65f02547,723e277b-a5e8-4ea1-9e09-7c694efb0fe8,4ba45037-a8a3-4013-b534-0b9e65f02547,Vitor Petrino vs Marcin Prachnio,Submission,3,3:42
10603,01ad827b-f91f-4d45-b2c4-d1fba678a0ad,130200,39bc3675-a2ce-44b7-a114-43dd97cf6b32,3f2162da-1e1c-45bd-9591-466e0b1b870a,3f2162da-1e1c-45bd-9591-466e0b1b870a,Kamuela Kirk vs Esteban Ribovics,Decision - Unanimous,3,5:00
10605,7a075fc9-bab1-4a5b-b8c2-6b2262e4bc3a,130196,56010f82-8775-4c91-b145-129ea999baca,31d8f634-9664-4ec8-a902-ee74ef2604c6,31d8f634-9664-4ec8-a902-ee74ef2604c6,Jimmy Crute vs Alonzo Menifield,Submission,2,1:55
