ranking_fighter_name,normalized_name,greco_fighter_name,greco_fighter_url,match_method,review_status
Dominick Reyes,dominickreyes,Dominick Reyes,http://ufcstats.com/fighter-details/2e19380f34871c6a,exact_normalized_display_name_unique,candidate
Don'Tale Mayes,dontalemayes,Don'Tale Mayes,http://ufcstats.com/fighter-details/1a9480fc288e55d7,exact_normalized_display_name_unique,candidate
Donald Cerrone,donaldcerrone,Donald Cerrone,http://ufcstats.com/fighter-details/1d00756835ca67c9,exact_normalized_display_name_unique,candidate
Dong Hyun Kim,donghyunkim,Dong Hyun Kim,http://ufcstats.com/fighter-details/9bcf8603ceb25680,exact_normalized_display_name_unique,candidate
Dooho Choi,doohochoi,Dooho Choi,http://ufcstats.com/fighter-details/e93b04e308913c2e,exact_normalized_display_name_unique,candidate
Douglas Silva de Andrade,douglassilvadeandrade,Douglas Silva de Andrade,http://ufcstats.com/fighter-details/3a314d9fa7c6825d,exact_normalized_display_name_unique,candidate
Drew Dober,drewdober,Drew Dober,http://ufcstats.com/fighter-details/519e4fe37ce9ff75,exact_normalized_display_name_unique,candidate
Dricus Du Plessis,dricusduplessis,Dricus Du Plessis,http://ufcstats.com/fighter-details/0d7b51c9d2649a6e,exact_normalized_display_name_unique,candidate
Dustin Jacoby,dustinjacoby,Dustin Jacoby,http://ufcstats.com/fighter-details/e4277e87a789d687,exact_normalized_display_name_unique,candidate
Dustin Ortiz,dustinortiz,Dustin Ortiz,http://ufcstats.com/fighter-details/f53c1f4ceeed8c08,exact_normalized_display_name_unique,candidate
Dustin Poirier,dustinpoirier,Dustin Poirier,http://ufcstats.com/fighter-details/029eaff01e6bb8f0,exact_normalized_display_name_unique,candidate
Eddie Alvarez,eddiealvarez,Eddie Alvarez,http://ufcstats.com/fighter-details/33a331684283900f,exact_normalized_display_name_unique,candidate
Eddie Wineland,eddiewineland,Eddie Wineland,http://ufcstats.com/fighter-details/fc9a9559a05f2704,exact_normalized_display_name_unique,candidate
Edgar Chairez,edgarchairez,Edgar Chairez,http://ufcstats.com/fighter-details/5ef94841c4bc3f86,exact_normalized_display_name_unique,candidate
Edmen Shahbazyan,edmenshahbazyan,Edmen Shahbazyan,http://ufcstats.com/fighter-details/4144798612ef96e5,exact_normalized_display_name_unique,candidate
Edson Barboza,edsonbarboza,Edson Barboza,http://ufcstats.com/fighter-details/64a50dad704d1d49,exact_normalized_display_name_unique,candidate
Eduarda Moura,eduardamoura,Eduarda Moura,http://ufcstats.com/fighter-details/de594b35c45c2e9a,exact_normalized_display_name_unique,candidate
Elias Theodorou,eliastheodorou,Elias Theodorou,http://ufcstats.com/fighter-details/34f88592c0ab7a54,exact_normalized_display_name_unique,candidate
Elizeu Zaleski dos Santos,elizeuzaleskidossantos,Elizeu Zaleski dos Santos,http://ufcstats.com/fighter-details/8adcbd525fab8d9b,exact_normalized_display_name_unique,candidate
Emily Ducote,emilyducote,Emily Ducote,http://ufcstats.com/fighter-details/02f8fedc18cbd26c,exact_normalized_display_name_unique,candidate
Emily Whitmire,emilywhitmire,Emily Whitmire,http://ufcstats.com/fighter-details/b3d21b2610dcfaeb,exact_normalized_display_name_unique,candidate
Eric Shelton,ericshelton,Eric Shelton,http://ufcstats.com/fighter-details/a0c64f272b65d441,exact_normalized_display_name_unique,candidate
Erick Silva,ericksilva,Erick Silva,http://ufcstats.com/fighter-details/5866fc86183a9fb8,exact_normalized_display_name_unique,candidate
Erik Koch,erikkoch,Erik Koch,http://ufcstats.com/fighter-details/99bd87a300079ed9,exact_normalized_display_name_unique,candidate
Erik Perez,erikperez,Erik Perez,http://ufcstats.com/fighter-details/af62f99eb7606308,exact_normalized_display_name_unique,candidate
Erin Blanchfield,erinblanchfield,Erin Blanchfield,http://ufcstats.com/fighter-details/669970f7feba8ecd,exact_normalized_display_name_unique,candidate
Evan Dunham,evandunham,Evan Dunham,http://ufcstats.com/fighter-details/e5c9de15bb58b1c6,exact_normalized_display_name_unique,candidate
Fabio Maldonado,fabiomaldonado,Fabio Maldonado,http://ufcstats.com/fighter-details/1fb80f46d3c105d9,exact_normalized_display_name_unique,candidate
Fabricio Werdum,fabriciowerdum,Fabricio Werdum,http://ufcstats.com/fighter-details/492b202d2064e7a9,exact_normalized_display_name_unique,candidate
Fares Ziam,faresziam,Fares Ziam,http://ufcstats.com/fighter-details/1e4f273069fb9e85,exact_normalized_display_name_unique,candidate
Farid Basharat,faridbasharat,Farid Basharat,http://ufcstats.com/fighter-details/a09ed60aa67a3f67,exact_normalized_display_name_unique,candidate
Fatima Kline,fatimakline,Fatima Kline,http://ufcstats.com/fighter-details/745fa7b605f8e2da,exact_normalized_display_name_unique,candidate
Felice Herrig,feliceherrig,Felice Herrig,http://ufcstats.com/fighter-details/b6850671a008bf9a,exact_normalized_display_name_unique,candidate
Francis Carmont,franciscarmont,Francis Carmont,http://ufcstats.com/fighter-details/3591d0d5d382a381,exact_normalized_display_name_unique,candidate
