fightmetric_id,raw_color,round,resource_id,drupal_internal_id,reason,field,raw_value,details
12531,1,2,0bca0660-3269-40bc-a0f5-f42e3e0388f3,67297,missing_canonical_fight_identity,,,
12531,1,3,bdfea05e-5b13-4772-93d0-32bc8fefa9ad,67298,missing_canonical_fight_identity,,,
12536,0,1,ca803a66-b48c-473d-9996-9631b222a06a,67199,missing_canonical_fight_identity,,,
12536,1,1,42b87839-8a9d-4ce8-b798-5852a47d2077,67200,missing_canonical_fight_identity,,,
12555,0,1,28dd0219-927d-4169-becf-eacbb07cb113,67419,missing_canonical_fight_identity,,,
12555,0,2,d14edb1f-6c82-4522-b317-9d6847c22db2,67420,missing_canonical_fight_identity,,,
12555,0,3,fd507a18-89a2-4c6d-9ec5-bd7ee3c106dd,67421,missing_canonical_fight_identity,,,
12555,1,1,0481a118-0ec0-4e72-bce4-3f5a2a0c7511,67422,missing_canonical_fight_identity,,,
12555,1,2,bcadc87f-963e-476d-b812-871668b77770,67423,missing_canonical_fight_identity,,,
12555,1,3,eca38ddd-b3f9-4131-949c-1d0044b5733d,67424,missing_canonical_fight_identity,,,
12594,0,1,56442fb2-73c2-4b76-ae55-ab2db1d02ac2,67688,missing_canonical_fight_identity,,,
12594,0,2,ed5b9e09-7054-4bfc-85b9-946eca7dfec0,67689,missing_canonical_fight_identity,,,
12594,0,3,464758cc-d086-47f0-a2de-e6b95eef9763,67690,missing_canonical_fight_identity,,,
12594,1,1,7857d35d-8d08-4b97-b787-196890338d56,67691,missing_canonical_fight_identity,,,
12594,1,2,aa6e702a-a84e-4db1-b8ed-feeb87772a8d,67692,missing_canonical_fight_identity,,,
